Bid Week,Start Date,End Date
April 2014 Delivery ,3/1/2014,3/18/2014
May 2014 Delivery ,4/1/2014,4/16/2014
June 2014 Delivery ,5/1/2014,5/16/2014
July 2014 Delivery ,6/1/2014,6/17/2014
August 2014 Delivery ,7/1/2014,7/17/2014
September 2014 Delivery ,8/1/2014,8/18/2014
October 2014 Delivery ,9/1/2014,9/17/2014
November 2014 Delivery ,10/1/2014,10/17/2014
December 2014 Delivery ,11/1/2014,11/18/2014
January 2015 Delivery ,12/1/2014,12/15/2014
February 2015 Delivery,1/2/2015,1/19/2015
February 2015 Delivery,1/2/2015,1/19/2015
February 2015 Delivery ,1/2/2015,1/19/2015
March 2015 Delivery,2/2/2015,2/17/2015
April 2015 Delivery ,3/2/2015,3/17/2015
May 2015 Delivery ,4/1/2015,4/16/2015
June 2015 Delivery,5/1/2015,5/19/2015
July 2015 Delivery,6/1/2015,6/16/2015
August 2015 Delivery,7/2/2015,7/17/2015
September 2015 Delivery,8/4/2015,8/18/2015
October 2015 Delivery ,9/1/2015,9/17/2015
November 2015 Delivery,10/1/2015,10/19/2015
December 2015 Delivery ,11/2/2015,11/17/2015
January 2016 Delivery,12/1/2015,12/15/2015
February 2016 Delivery,1/1/2016,1/18/2016
March 2016 Delivery,2/1/2016,2/16/2016
April 2016 Delivery,3/1/2016,3/16/2016
May 2016 Delivery,4/1/2016,4/15/2016
June 2016 Delivery,5/1/2016,5/16/2016
July 2016 Delivery,6/1/2016,6/16/2016
August 2016 Delivery,7/1/2016,7/18/2016
September 2016 Delivery,8/1/2016,8/17/2016
October 2016 Delivery,9/1/2016,9/16/2016
November 2016 Delivery,10/1/2016,10/18/2016
December 2016 Delivery,11/1/2016,11/16/2016
January 2017 Delivery,12/1/2016,12/14/2016
February 2017 Delivery,1/3/2017,1/17/2017
March 2017 Delivery,2/1/2017,2/15/2017
April 2017 Delivery,3/1/2017,3/16/2017
May 2017 Delivery,4/3/2017,4/17/2017
June 2017 Delivery,5/1/2017,5/16/2017
July 2017 Delivery,6/1/2017,6/16/2017
August 2017 Delivery,7/3/2017,7/17/2017
September 2017 Delivery,8/1/2017,8/17/2017
October 2017 Delivery,9/1/2017,9/15/2017
November 2017 Delivery,10/2/2017,10/17/2017
December 2017 Delivery,11/1/2017,11/16/2017
January 2018 Delivery,12/1/2017,12/14/2017
February 2018 Delivery,1/2/2018,1/16/2018
March 2018 Delivery,2/1/2018,2/13/2018
April 2018 Delivery,3/1/2018,3/15/2018
May 2018 Delivery,4/2/2018,4/13/2018
June 2018 Delivery,5/1/2018,5/16/2018
July 2018 Delivery,6/1/2018,6/14/2018
August 2018 Delivery,7/3/2018,7/16/2018
September 2018 Delivery,8/1/2018,8/16/2018
October 2018 Delivery,9/4/2018,9/14/2018
November 2018 Delivery,10/1/2018,10/16/2018
December 2018 Delivery,11/1/2018,11/15/2018
January 2019 Delivery,12/3/2018,12/13/2018
February 2019 Delivery,1/2/2019,1/16/2019
March 2019 Delivery,2/1/2019,2/13/2019
April 2019 Delivery,3/1/2019,3/15/2019
May 2019 Delivery,4/1/2019,4/15/2019
June 2019 Delivery,5/1/2019,5/16/2019
July 2019 Delivery,6/3/2019,6/14/2019
August 2019 Delivery,7/2/2019,7/16/2019
September 2019 Delivery,8/1/2019,8/15/2019
October 2019 Delivery,9/3/2019,9/13/2019
November 2019 Delivery,10/1/2019,10/16/2019
December 2019 Delivery,11/1/2019,11/14/2019
January 2020 Delivery,12/2/2019,12/13/2019
February 2020 Delivery,1/2/2020,1/16/2020
March 2020 Delivery,2/3/2020,2/13/2020
April 2020 Delivery,3/2/2020,3/16/2020
May 2020 Delivery,4/1/2020,4/16/2020
June 2020 Delivery,5/1/2020,5/14/2020
July 2020 Delivery,6/1/2020,6/15/2020
August 2020 Delivery,7/2/2020,7/16/2020
September 2020 Delivery,8/4/2020,8/17/2020
October 2020 Delivery,9/1/2020,9/16/2020
November 2020 Delivery,10/1/2020,10/16/2020
December 2020 Delivery,11/2/2020,11/16/2020
